pID,pname,alcdegree,volume,ingredient,pcompany,pprice,pperson,pcategory,pdesc,pstock,imgpath
1,애피소드 상그리아,3.5,500ml,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈,3500,연인,과실주,세뇨리따! 스페인의 파티 음료,5,./pimg/1
2,애피소드 애플,3.5,500ml,사과,㈜한국애플리즈,3500,연인,과실주,향긋한 사과와 톡쏘는 탄산의 조화 어디서 마셔본 그 맛,5,./pimg/2
3,편백숲 산소막걸리 딸기 스파클링,6.8,940ml,"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수,6800,연인,탁주,딸기를 넣어 빚은 톡톡 튀는 스파클링 막걸리,5,./pimg/3
4,한주,35,700ml,국내산 쌀,한주양조,35000,웃어른,증류식소주,서울시 무형문화재인 송절주 기능보유자에 의해 만들어지는 술,5,./pimg/4
5,병영사또,40,750ml,"국내산 쌀, 국내산 오디, 국내산 복분자",병영주조장,40000,웃어른,일반증류주,빨리 맛보게 될수록 후회가 줄어 들 거예요 :),5,./pimg/5
6,만강에 비친 달,10,500ml,"홍천쌀, 단호박, 곡자(밀누룩)",예술주조,10000,친구,탁주,단호박이 들어간 새콤한 막걸리,5,./pimg/6
7,우도땅콩전통주,6,750ml,"쌀, 우도땅콩",조은술 세종,6000,친구,기타주류,우도산 땅콩이 들어간 막걸리,5,./pimg/7
8,세종 알밤주,6,750ml,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종,6000,친구,기타주류,알밤향이 풍부하게 올라오는 막걸리,5,./pimg/8
9,얼떨결에 퍼플,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",동강주조,6000,연인,탁주,얼떨결에 마셔봤는데... 너무 맛있잖아?,5,./pimg/9
10,선호 생막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인,6000,친구,탁주,누구나 다 선호 할 만한 맛,5,./pimg/10
11,서울의 밤,25,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류,25000,웃어른,일반증류주,"늦은 밤, 어느 안주와도 어울리는 술",5,./pimg/11
12,별산막걸리,6.5,800ml,"정제수, 쌀(국내산), 입국, 효모, 엿류",양주도가,6500,연인,탁주,너 정말 특별한 산미를 가졌구나?,5,./pimg/12
13,술샘16,16,375ml,"쌀(국내산), 오미자(국내산), 주정, 정백당",술샘,16000,혼자,일반증류주,입 안에서 퍼지는 오미자의 맛이 가득한 술,5,./pimg/13
14,술아 순곡주,20,375ml,"국내산 찹쌀, 누룩, 증류주, 정제수",,20000,혼자,약주,순곡으로 빚은 긴 여운의 과하주,5,./pimg/14
15,토끼 소주,23,375ml,"정제수, 찹쌀, 누룩, 효모, 효소제\",농업회사법인 토끼소주㈜,23000,웃어른,증류식소주,미국인 손에 의해 탄생한 우리나라 증류주!,5,./pimg/15
16,여포의 꿈 레드,12,750ml,국내산 포도,여포와인농장,12000,친구,과실주,미디엄 바디와 산도를 가진 레드와인,5,./pimg/16
17,동래아들,6,750ml,"정제수, 찹쌀, 맵쌀, 밀누룩",제이케이크래프트,6000,연인,탁주,백화의 전설이 내려오는 부산 동래구의 막걸리,5,./pimg/17
18,냥이탁주,9,500ml,"정제수, 쌀, 찰보리, 찰수수, 벌꿀, 오미자, 송순, 누룩, 개량누룩",행주산성주가,9000,연인,탁주,5가지 부재료를 넣어 만든 새콤달콤한 막걸리,5,./pimg/18
19,동짓달 기나긴 밤,16,500ml,"찹쌀, 맵쌀, 복분자, 전통누룩, 정제수",예술주조,16000,혼자,약주,복분자를 넣어 만든 전통 과일 약주,5,./pimg/19
20,이도 22,22,375ml,쌀(국내산),조은술 세종,22000,혼자,증류식소주,세종대왕 이도가 22세의 나이로 즉위함을 기린 소주,5,./pimg/20
21,모월 인,41,500ml,"국내산 쌀, 정제수, 밀누룩",모월,41000,웃어른,증류식소주,우리술 품평회 대통령상을 차지한 바로 그 소주!,5,./pimg/21
22,초선의 꿈,12,375ml,국내산 포도,여포와인농장,12000,친구,과실주,여포의 그녀 초선처럼 달콤한 사랑이 깃든 와인이에요,5,./pimg/22
23,여포의 꿈 (화이트),12,750ml,국내산 포도,여포와인농장,12000,친구,과실주,알렉산드리아 품종으로 만든 청포도 와인,5,./pimg/23
24,아이엠더문,17,750ml,"사과(국내산), 포도(국내산), 딸기(국내산), 블러드 오렌지",조은술 세종,17000,혼자,일반증류주,파티를 책임져줄 우리나라 전통주,5,./pimg/24
25,토박이 한산소곡주,16,700ml,"찹쌀, 국내산 멥쌀",한산소곡주,18000,혼자,약주,한 번 마시면 멈출 수 없는 맛,5,./pimg/25
